
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	18	14	25
1	16	25	21
2	25	16	20
3	23	19	14
4	23	19	15
5	15	19	23
6	12	23	18
7	19	14	23
8	12	21	16
9	15	19	25
10	15	23	19
11	12	16	23
12	15	19	23
13	17	21	12
14	25	20	16
15	15	19	23
16	19	15	23
17	18	14	24
18	21	25	17
19	21	11	17
20	12	16	23
21	21	25	16
22	19	23	15
23	23	19	14
24	18	25	14
25	12	16	23
26	23	19	14
27	12	17	21
28	21	16	25
29	15	19	23
30	21	14	25
31	21	12	17
32	23	18	14
33	17	12	21
34	25	14	20
35	19	15	23
36	21	25	16
37	23	13	19
38	19	14	23
39	24	20	16
40	19	23	15
41	19	23	14
42	17	12	23
43	14	20	25
44	24	16	20
45	12	21	17
46	12	21	16
47	21	12	16
48	19	23	15
49	24	20	16
50	14	19	25
51	19	25	15
52	21	13	17
53	25	17	21
54	23	19	15
55	12	17	23
56	18	23	14
57	21	12	17
58	21	16	25
59	12	21	17
60	25	14	21
61	18	23	14
62	19	23	15
63	19	23	14
64	19	14	25
65	23	17	13
66	21	16	12
67	14	23	19
68	22	13	17
69	21	12	16
70	18	23	14
71	23	14	19
72	12	21	16
73	21	16	25
74	13	23	19
75	19	23	14
76	22	13	17
77	17	21	12
78	21	17	12
79	25	15	21
80	21	17	12
81	13	17	21
82	18	23	14
83	14	25	20
84	16	21	12
85	14	20	25
86	16	25	20
87	67	90	63
88	21	17	13
89	13	17	23
90	14	19	23
91	19	14	25
92	21	17	12
93	25	21	17
94	14	18	25
95	46	36	10
96	16	20	25
97	21	16	12
98	18	14	23
99	18	25	14
100	13	23	19
101	11	21	17
102	23	19	14
103	12	17	21
104	15	23	19
105	12	17	21
106	17	25	21
107	14	23	19
108	25	21	16
109	12	23	18
110	14	19	25
111	17	22	13
112	14	19	25
113	23	19	14
114	27	37	46
115	15	23	19
116	25	16	21
117	12	21	17
118	17	12	23
119	12	17	21
120	19	23	15
121	23	19	15
122	14	19	25
123	12	17	21
124	17	12	21
125	19	23	15
126	23	19	14
127	18	23	14
128	21	16	25
129	12	21	16
130	21	25	16
131	19	15	23
132	21	17	13
133	16	20	25
134	15	19	23
135	20	25	16
136	14	18	23
137	14	19	25
138	19	23	14
139	12	17	21
140	21	12	17
141	14	25	20
142	17	13	23
143	12	17	21
144	23	15	19
145	20	25	16
146	13	17	21
147	12	16	23
148	19	15	25
149	19	23	15
150	16	21	12
151	13	22	17
152	23	15	19
153	23	12	19
154	12	16	23
155	25	19	14
156	17	21	12
157	19	25	14
158	16	21	25
159	23	15	19
160	20	25	16
161	16	21	12
162	19	14	25
163	23	14	18
164	14	23	19
165	11	41	36
166	23	18	14
167	18	25	14
168	12	17	21
169	32	23	28
170	23	14	19
171	21	16	25
172	18	23	14
173	14	23	18
174	21	25	16
175	23	15	19
176	17	12	21
177	12	23	18
178	17	13	21
179	21	12	17
180	21	17	13
181	23	18	14
182	14	25	20
183	17	13	23
184	14	19	23
185	13	17	21
186	23	19	15
187	13	23	19
188	51	13	66
189	19	15	23
190	23	19	15
191	23	18	14
192	13	22	17
193	23	18	14
194	12	68	64
195	12	21	16
196	12	21	17
197	19	23	15
198	21	12	17
199	25	14	20
200	15	19	23
201	23	19	14
202	14	23	19
203	75	79	71
204	25	16	20
205	21	17	12
206	19	14	25
207	19	23	14
208	18	14	23
209	21	15	25
210	23	14	18
211	23	18	14
212	17	13	23
213	21	25	16
214	23	19	14
215	23	14	18
216	21	17	13
217	14	23	19
218	17	13	22
219	12	17	21
220	23	19	15
221	14	18	23
222	21	12	17
223	13	17	23
224	23	14	18
225	18	23	14
