
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	14	21	25
1	21	13	17
2	21	17	12
3	15	19	25
4	17	21	12
5	14	23	18
6	16	21	12
7	13	21	17
8	19	25	15
9	16	25	20
10	17	13	23
11	19	23	14
12	25	21	16
13	19	14	23
14	13	17	22
15	14	18	23
16	21	16	25
17	73	14	18
18	16	21	12
19	23	17	12
20	14	25	21
21	25	21	17
22	18	23	14
23	13	21	17
24	23	14	18
25	23	14	18
26	14	23	18
27	23	19	14
28	23	19	15
29	17	21	12
30	17	13	21
31	15	23	19
32	23	12	19
33	12	23	18
34	22	13	17
35	17	21	13
36	16	25	21
37	25	16	21
38	19	23	14
39	16	21	12
40	17	21	12
41	14	23	18
42	21	12	17
43	38	45	49
44	18	25	14
45	23	13	19
46	14	23	19
47	14	18	23
48	21	17	12
49	16	25	20
50	17	21	12
51	59	41	29
52	19	23	14
53	23	19	14
54	21	25	16
55	13	17	23
56	21	16	12
57	14	25	21
58	14	21	25
59	21	17	13
60	21	25	16
61	17	21	12
62	13	21	17
63	24	30	52
64	14	18	23
65	17	13	23
66	25	14	20
67	19	15	23
68	14	18	23
69	23	14	18
70	21	17	12
71	19	23	15
72	25	15	21
73	21	13	17
74	21	12	16
75	12	17	21
76	18	23	14
77	21	25	16
78	25	21	16
79	12	16	21
80	17	21	13
81	17	21	13
82	23	14	19
83	15	25	21
84	13	17	22
85	21	16	12
86	13	17	21
87	15	23	19
88	23	19	14
89	21	17	12
90	14	23	18
91	18	14	25
92	13	23	19
93	15	23	19
94	12	21	17
95	19	23	15
96	14	23	19
97	18	23	14
98	16	20	25
99	23	15	19
100	25	17	21
101	12	21	16
102	23	19	15
103	15	25	21
104	23	14	19
105	23	19	15
106	14	25	21
107	23	14	19
108	14	23	18
109	14	25	20
110	32	26	22
111	23	19	14
112	19	23	15
113	14	23	19
114	12	23	18
115	19	14	23
116	23	14	19
117	25	21	16
118	23	14	19
119	19	14	23
120	14	23	19
121	14	18	25
122	25	15	21
123	23	18	14
124	20	16	24
125	16	20	24
126	17	22	13
127	23	12	18
128	17	12	21
129	12	17	21
130	17	21	25
131	23	14	18
132	14	23	18
133	12	21	16
134	19	23	14
135	21	13	17
136	64	71	75
137	15	25	21
138	17	21	12
139	14	18	23
140	21	12	17
141	16	21	12
142	42	51	47
143	20	25	16
144	19	13	23
145	16	25	21
146	10	17	21
147	17	21	12
148	16	12	21
149	25	14	20
150	12	23	18
151	21	16	12
152	13	21	17
153	21	17	12
154	23	13	19
155	23	18	14
156	21	25	16
157	14	23	19
158	25	21	16
159	14	21	25
160	14	23	19
161	14	24	20
162	16	21	12
163	21	12	16
164	16	20	25
165	13	21	17
166	17	12	23
167	14	23	19
168	14	23	18
169	24	20	16
170	23	13	19
171	12	18	23
172	13	21	17
173	25	15	21
174	15	19	25
175	12	21	16
176	12	16	21
177	18	23	14
178	21	12	17
179	17	12	23
180	15	25	21
181	12	21	17
182	23	18	14
183	15	19	23
184	23	14	19
185	14	19	23
186	23	19	14
187	13	23	19
188	14	19	25
189	21	12	17
190	21	17	12
191	14	25	21
192	15	23	19
193	23	12	19
194	23	13	19
195	15	23	19
196	17	13	23
197	19	15	44
198	25	18	14
199	17	21	12
200	14	19	23
201	12	16	23
202	14	23	18
203	19	23	15
