
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	14252	7	5774
1	17962	6	5301
2	16499	33234	3646
3	11087	9	6902
4	6	19410	23593
5	9469	26338	1120
6	11961	28821	5
7	11824	28607	9
8	16481	6	3872
9	9460	26280	5
10	5	16872	21049
11	28492	11613	20052
12	6556	23436	7
13	21007	5	8263
14	1464	14089	22534
15	2858	19796	23956
16	14638	27260	1973
17	31136	10109	18557
18	10675	27514	7
19	5	15216	19440
20	22316	5427	9639
21	23320	6478	10694
22	2121	18966	23188
23	14805	7	2153
24	13372	4	752
25	5	14652	18873
26	13888	1186	5459
27	23133	10426	14650
28	5	17909	22132
29	17552	722	4930
30	9614	26533	7
31	13248	7	617
32	674	17513	21697
33	16789	3	4128
34	14773	7	2095
35	16706	5	4083
36	3864	20746	24986
37	15116	5	6720
38	8945	7	364
39	2881	23953	32396
40	1242	22395	26579
41	15643	7	7206
42	5	18170	22433
43	23273	10608	14881
44	27422	18798	14574
45	10987	2504	3
46	5796	3	26818
47	23927	15413	11176
48	29557	21115	16891
49	25177	16737	12513
50	10370	1892	6
51	15163	6728	2504
52	4638	7	25740
53	27086	18692	14423
54	3391	28680	24458
55	598	9158	4908
56	1240	26540	22317
57	4765	5	25789
58	5910	5	27007
59	24342	15925	11717
60	29535	21053	16828
61	10075	1591	5
62	150	5	25443
63	20286	16066	11881
64	467	7	25745
65	9255	5078	868
66	2304	27593	23369
67	5	19435	23657
68	24224	11562	15836
69	1576	22603	26823
70	3	22058	26282
71	7939	7	3764
72	6150	27211	5
73	27842	15178	19407
74	28695	15990	20211
75	9	20723	29164
76	11655	7	7430
77	3851	24901	5
78	20861	8186	16593
79	25432	16993	7
80	11789	3286	15967
81	19960	15764	24210
82	30324	17705	26144
83	6750	27810	2508
84	18240	5566	14010
85	40550	11000	36374
86	6	42526	17194
87	16505	12323	5
88	28641	11757	20204
89	16508	3886	20732
90	27725	10801	19243
91	5	21802	651
92	6146	6	10378
93	7	20004	3167
94	23972	15535	7
95	5710	5	14158
96	9	23884	2821
97	20506	12110	24686
98	35935	10601	40192
99	13677	5221	38996
100	12120	3674	16304
101	19939	11497	24157
102	219	25525	4469
103	7414	3185	11630
104	6274	2006	10519
105	3458	7	7648
106	9169	4925	13384
107	7	28127	2847
108	13171	8913	17363
109	28270	7	32490
110	5429	13873	9698
111	4	1354	30845
112	29412	5	25190
113	33538	7	25097
114	852	5	26141
115	8	1223	26546
116	16632	24948	20740
117	5	6992	2688
118	27360	5	2042
119	14674	10323	18763
120	9736	18182	22445
121	8065	16506	20771
122	9457	22076	17897
123	13996	26689	22441
124	15991	28657	24432
125	13433	26102	21882
126	25968	644	4915
127	6672	19335	15117
128	11934	24597	20375
129	27867	6775	2486
130	24483	5	3386
131	27185	6092	1910
132	3961	16704	12486
133	9	8861	4619
134	3933	16614	12396
135	20303	28708	24488
136	11649	20173	15875
137	18009	26449	22230
138	13143	17367	21585
139	2075	6299	10562
140	29214	4	3853
141	13492	21907	17689
142	24738	33178	5
143	28697	7639	3449
144	12997	25517	17080
145	15976	11756	24407
146	25667	7	441
147	5	7635	3460
148	23114	52657	5
149	17416	25824	21649
150	6562	10825	2338
151	6062	10301	1818
152	16166	24611	20388
153	21891	7	26078
154	8456	16860	12642
155	5	5674	1441
156	28012	2620	8
157	8506	16785	12518
