
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	3078	2023	968
1	1778	723	2833
2	1326	273	2379
3	1375	322	2430
4	2865	1810	756
5	2949	1894	839
6	1209	154	2264
7	1495	440	2550
8	1458	401	2511
9	403	2513	1458
10	2477	1422	367
11	1562	507	2617
12	404	2518	1461
13	1529	474	2585
14	2499	1444	389
15	2892	1837	782
16	1403	348	2458
17	280	2390	1335
18	1966	864	2974
19	1951	896	3008
20	2342	1287	232
21	2606	1551	496
22	99	2209	1154
23	2497	1442	387
24	50	2160	1105
25	2602	1546	491
26	254	2366	1309
27	2919	1864	809
28	1314	259	2371
29	1180	125	2237
30	55	2167	1110
31	2812	1757	704
32	264	2378	1321
33	2197	1142	87
34	652	2766	1709
35	2115	1060	5
36	2100	1043	3153
37	1677	618	2730
38	1135	80	2190
39	2152	1097	42
40	3142	2087	1032
41	957	3067	2014
42	387	2471	1416
43	2674	1617	562
44	2360	1305	290
45	2007	950	3062
46	2745	1690	635
47	2900	1843	792
48	1097	42	2152
49	1251	198	2306
50	2738	1684	628
51	2914	1857	802
52	1463	408	2518
53	2469	1412	357
54	1654	599	2713
55	917	3027	1972
56	1660	603	2715
57	170	2302	1227
58	2994	1937	882
59	453	2565	1510
60	2450	1397	340
61	405	2516	1495
62	1853	798	2908
63	1602	547	2657
64	594	2707	1649
65	3088	2033	978
66	813	2923	1907
67	2186	1131	76
68	370	2484	1427
69	563	2675	1620
70	421	2533	1478
71	2271	1178	123
72	1958	905	3013
73	1114	59	2171
74	886	2996	1943
75	2203	1108	53
76	1038	3148	2108
77	1116	61	2175
78	318	2430	1375
79	2007	952	3062
80	1013	3125	2070
81	1211	154	2266
82	1906	849	2961
83	1429	372	2484
84	2863	1808	753
85	753	2863	1808
86	535	2647	1594
87	2769	1714	659
88	2871	1816	796
89	2215	1160	105
90	1343	288	2400
91	1814	800	2867
92	457	2605	1514
93	2666	1611	556
94	308	2417	1362
95	28	2136	1081
96	2743	1687	632
97	807	2919	1866
98	1406	353	2461
99	2576	1519	464
100	798	2910	1855
101	2552	1499	442
102	1686	630	2741
103	730	2840	1785
104	2005	948	3058
105	230	2338	1283
106	174	2286	1231
107	1127	72	2184
108	1500	485	2553
109	1806	749	2861
110	1631	574	2686
111	2089	1034	3144
112	1515	462	2570
113	2733	1678	623
114	37	2147	1094
115	2284	1229	174
116	21	2131	1076
117	920	3034	1977
118	1293	238	2350
119	140	2252	1197
120	743	2853	1798
121	2686	1631	576
122	1257	198	2310
123	693	2805	1754
124	1911	856	2966
125	524	2638	1579
126	2150	1097	39
127	1831	776	2888
128	2052	997	3108
129	2750	1695	640
130	1937	882	2992
131	2312	1257	202
132	605	2715	1660
133	3094	2040	982
134	721	2831	1776
135	1106	50	2161
136	2745	1692	633
137	2208	1155	96
138	2899	1844	789
139	2450	1395	340
140	890	3000	1945
141	1172	119	2227
142	187	2299	1244
143	2947	1892	837
144	844	2956	1901
145	2848	1795	740
146	2497	1442	387
147	1188	133	2243
148	2953	1898	843
149	693	2803	1750
150	794	2908	1849
151	2069	1016	3124
152	2396	1341	286
153	2863	1808	753
154	1002	3114	2061
155	2460	1405	350
156	897	3011	1954
157	2968	1914	856
158	869	2983	1926
159	76	2190	1133
160	1415	360	2472
161	2580	1525	470
162	3064	2007	952
163	1401	346	2456
164	3141	2086	1031
165	3118	2076	1008
166	2362	1307	252
167	2935	1878	823
168	2404	1350	295
169	478	2590	1535
170	585	2695	1642
171	1145	88	2200
172	129	2241	1184
173	2649	1594	541
174	1435	380	2490
175	2779	1722	667
176	2738	1683	628
177	3148	2093	1038
178	2884	1829	778
179	2031	976	3088
180	48	2162	1103
181	1735	680	2792
182	1838	783	2893
183	1169	112	2224
184	2184	1127	72
185	2578	1525	468
186	2522	1467	410
187	1812	755	2867
188	569	2681	1626
189	623	2733	1678
190	1718	663	2773
191	2653	1598	543
192	654	2764	1711
193	2212	1157	102
194	1622	567	2677
195	1133	76	2188
196	1375	322	2430
197	1085	28	2141
198	439	2548	1493
199	2183	1128	73
200	1603	550	2702
201	2398	1343	288
202	963	3071	2016
203	1743	686	2798
204	1301	248	2358
205	636	2748	1693
206	1550	495	2608
207	1799	744	2855
208	2948	1891	836
209	394	2506	1451
210	2962	1907	852
211	2991	1934	879
212	2698	1642	588
213	1894	835	2947
214	266	2376	1323
215	1328	273	2385
216	376	2488	1433
217	235	2347	1290
218	640	2752	1697
219	904	3016	1961
220	2782	1727	672
221	191	2301	1247
222	3111	2056	1001
223	1413	358	2470
224	3056	1999	944
225	2538	1483	428
226	775	2885	1830
227	943	3143	1998
228	2961	1906	851
229	1914	859	2969
230	2289	1234	181
231	2167	1110	55
232	619	2729	1674
233	2966	1911	854
234	1756	699	2811
235	554	2668	1611
236	929	3041	1986
237	3161	2104	1049
238	1909	854	2968
239	1542	485	2595
240	427	2541	1484
241	978	3088	2035
242	3112	2057	1002
243	151	2261	1210
244	1800	745	2857
245	1090	33	2145
246	1493	438	2548
247	114	2224	1169
248	997	3105	2050
249	2475	1420	363
250	1335	278	2390
251	1328	273	2384
252	281	2391	1336
253	2456	1401	346
254	297	2409	1354
255	367	2480	1422
256	1277	222	2334
257	2271	1216	161
258	2561	1504	449
259	1197	142	2252
260	2467	1410	359
261	2501	1446	391
262	3153	2098	1043
263	1197	140	2252
264	2105	1050	3162
265	358	2472	1415
266	1562	505	2621
267	3158	2101	1046
268	2724	1669	614
269	2756	1701	644
270	157	2267	1212
271	2196	1141	86
272	2110	1053	3210
273	3021	1964	907
274	498	2610	1555
275	2160	1105	48
276	436	2548	1493
277	1251	194	2304
278	1252	197	2308
279	1439	382	2494
280	888	3000	1945
281	1503	446	2558
282	1730	675	2785
283	2102	1045	3157
284	1448	393	2504
285	3144	2087	1030
286	603	2715	1660
287	747	2859	1804
288	1350	295	2409
289	633	2741	1688
290	188	2298	1243
291	522	2636	1579
292	1243	190	2298
293	2938	1877	822
294	854	2966	1911
295	2293	1238	183
296	1351	296	2407
297	1148	93	2204
298	2351	1298	241
299	2604	1549	494
300	1621	566	2680
301	490	2600	1545
302	2332	1277	222
303	584	2694	1639
304	2782	1727	674
305	1499	444	2554
306	1322	267	2377
307	1636	579	2693
308	2370	1313	258
309	2793	1738	685
310	2651	1598	541
311	2199	1144	89
312	2184	1127	72
313	1599	544	2656
314	3170	2151	1058
315	2595	1540	485
316	431	2541	1486
317	2989	1934	879
318	3164	2108	1053
319	1108	52	2163
320	1032	3144	2089
321	2453	1396	345
322	2447	1394	335
323	1283	228	2338
324	541	2655	1598
325	1977	922	3032
326	149	2259	1204
327	3084	2029	974
328	1535	480	2591
329	2469	1414	359
330	2580	1525	470
331	2040	985	3097
332	2817	1760	705
333	1988	933	3045
334	3137	2080	1025
335	2394	1339	282
336	1190	135	2246
337	1941	888	2996
